RoadAccidents055: [('Road Accidents', 0.9256828), ('Burglary', 0.9053169), ('Explosion', 0.901189), ('Assault', 0.873768), ('Abuse', 0.8696256), ('Normal Videos', 0.866782), ('Arson', 0.8640655), ('Shooting', 0.8599095), ('Fighting', 0.85452497), ('Arrest', 0.85448164), ('Vandalism', 0.8492813), ('Robbery', 0.842636), ('Stealing', 0.83714885), ('Shoplifting', 0.73998857)]
Robbery015: [('Explosion', 0.8711579), ('Fighting', 0.85291874), ('Normal Videos', 0.8520347), ('Burglary', 0.8473251), ('Abuse', 0.84707534), ('Stealing', 0.84647816), ('Shooting', 0.84349984), ('Assault', 0.83941364), ('Arrest', 0.8378289), ('Road Accidents', 0.8376833), ('Robbery', 0.83031654), ('Vandalism', 0.82296187), ('Arson', 0.81513673), ('Shoplifting', 0.7631875)]
Robbery087: [('Explosion', 0.88357514), ('Fighting', 0.88219416), ('Stealing', 0.88043463), ('Abuse', 0.87527204), ('Normal Videos', 0.87462837), ('Shooting', 0.8738158), ('Assault', 0.87315094), ('Arrest', 0.86801946), ('Road Accidents', 0.8584888), ('Burglary', 0.85046864), ('Robbery', 0.84194756), ('Vandalism', 0.82265544), ('Arson', 0.8190048), ('Shoplifting', 0.7543968)]
Robbery130: [('Explosion', 0.9331685), ('Normal Videos', 0.9146806), ('Assault', 0.91381913), ('Shooting', 0.91304815), ('Abuse', 0.9103285), ('Fighting', 0.90949935), ('Arrest', 0.90293103), ('Stealing', 0.9024894), ('Road Accidents', 0.88845444), ('Burglary', 0.8798543), ('Arson', 0.869508), ('Robbery', 0.86348987), ('Vandalism', 0.8438257), ('Shoplifting', 0.7633699)]
Robbery131: [('Assault', 0.94820225), ('Explosion', 0.944698), ('Fighting', 0.9390342), ('Abuse', 0.9383204), ('Shooting', 0.93558556), ('Arrest', 0.93353075), ('Stealing', 0.9292966), ('Normal Videos', 0.9119171), ('Road Accidents', 0.8653444), ('Burglary', 0.8563855), ('Robbery', 0.85125256), ('Arson', 0.84092516), ('Vandalism', 0.8358896), ('Shoplifting', 0.7589691)]
Robbery089: [('Explosion', 0.90007985), ('Fighting', 0.89672387), ('Stealing', 0.8893406), ('Normal Videos', 0.88662285), ('Shooting', 0.8842726), ('Assault', 0.88403326), ('Abuse', 0.88317627), ('Arrest', 0.88279974), ('Road Accidents', 0.8433589), ('Burglary', 0.8323682), ('Robbery', 0.8208842), ('Arson', 0.8187205), ('Vandalism', 0.7972529), ('Shoplifting', 0.7309054)]
Robbery125: [('Assault', 0.94820225), ('Explosion', 0.9404368), ('Fighting', 0.9390342), ('Abuse', 0.9383204), ('Shooting', 0.93558556), ('Arrest', 0.93353075), ('Stealing', 0.9232024), ('Normal Videos', 0.9048028), ('Road Accidents', 0.870492), ('Burglary', 0.86895525), ('Robbery', 0.8595339), ('Arson', 0.83873355), ('Vandalism', 0.8312517), ('Shoplifting', 0.7780346)]
Robbery148: [('Explosion', 0.90108633), ('Fighting', 0.89691645), ('Stealing', 0.8903495), ('Abuse', 0.88639045), ('Assault', 0.8836592), ('Shooting', 0.8819871), ('Normal Videos', 0.8806607), ('Arrest', 0.8762233), ('Road Accidents', 0.8450935), ('Burglary', 0.8445189), ('Vandalism', 0.83379954), ('Robbery', 0.83039415), ('Arson', 0.8215149), ('Shoplifting', 0.7660366)]
Robbery091: [('Burglary', 0.9004204), ('Explosion', 0.88512695), ('Road Accidents', 0.87101674), ('Normal Videos', 0.8671275), ('Shooting', 0.8594651), ('Fighting', 0.8593044), ('Assault', 0.85922456), ('Abuse', 0.8552172), ('Arrest', 0.84811807), ('Arson', 0.84493923), ('Stealing', 0.8427722), ('Vandalism', 0.84143376), ('Robbery', 0.82824826), ('Shoplifting', 0.7599622)]
Robbery035: [('Assault', 0.9581318), ('Fighting', 0.9466004), ('Shooting', 0.9455329), ('Abuse', 0.94469136), ('Arrest', 0.94323575), ('Explosion', 0.9425326), ('Stealing', 0.9284354), ('Normal Videos', 0.90590984), ('Road Accidents', 0.8781339), ('Burglary', 0.8622981), ('Robbery', 0.84302974), ('Arson', 0.8355293), ('Vandalism', 0.83239466), ('Shoplifting', 0.7579575)]
Robbery084: [('Shooting', 0.9432061), ('Assault', 0.94257957), ('Abuse', 0.9389334), ('Fighting', 0.9372518), ('Explosion', 0.93591976), ('Arrest', 0.9333576), ('Stealing', 0.9315127), ('Normal Videos', 0.91531014), ('Road Accidents', 0.8636393), ('Robbery', 0.8539795), ('Burglary', 0.848626), ('Arson', 0.83392614), ('Vandalism', 0.81982064), ('Shoplifting', 0.75371933)]
Robbery109: [('Assault', 0.95888233), ('Abuse', 0.95140225), ('Shooting', 0.9507956), ('Explosion', 0.9501686), ('Arrest', 0.944881), ('Fighting', 0.94396675), ('Stealing', 0.94219685), ('Normal Videos', 0.9290576), ('Road Accidents', 0.8863032), ('Burglary', 0.8835121), ('Robbery', 0.8537166), ('Arson', 0.8470792), ('Vandalism', 0.8353859), ('Shoplifting', 0.7686279)]
Robbery140: [('Burglary', 0.8555888), ('Explosion', 0.85333794), ('Normal Videos', 0.84452915), ('Road Accidents', 0.83801544), ('Shooting', 0.83564067), ('Fighting', 0.83078617), ('Assault', 0.8239217), ('Abuse', 0.82178545), ('Arrest', 0.8131145), ('Stealing', 0.8058489), ('Arson', 0.8056684), ('Vandalism', 0.7973672), ('Robbery', 0.7956544), ('Shoplifting', 0.7021316)]
Robbery093: [('Explosion', 0.87895024), ('Fighting', 0.856102), ('Normal Videos', 0.8535749), ('Road Accidents', 0.84912586), ('Burglary', 0.84648323), ('Shooting', 0.8447578), ('Abuse', 0.84055233), ('Stealing', 0.84020627), ('Assault', 0.8379041), ('Arrest', 0.8341022), ('Vandalism', 0.8245741), ('Robbery', 0.824162), ('Arson', 0.8134587), ('Shoplifting', 0.7548288)]
Robbery002: [('Burglary', 0.89448965), ('Explosion', 0.8924252), ('Road Accidents', 0.8749881), ('Normal Videos', 0.8748652), ('Fighting', 0.8617753), ('Shooting', 0.8615794), ('Assault', 0.860415), ('Abuse', 0.85847735), ('Arson', 0.85094297), ('Arrest', 0.84943706), ('Stealing', 0.844454), ('Vandalism', 0.8326827), ('Robbery', 0.82329214), ('Shoplifting', 0.75023)]
Robbery001: [('Explosion', 0.9166084), ('Fighting', 0.9071907), ('Stealing', 0.9010492), ('Abuse', 0.89972204), ('Shooting', 0.8970272), ('Assault', 0.89668226), ('Normal Videos', 0.8914941), ('Arrest', 0.88754183), ('Burglary', 0.8624418), ('Road Accidents', 0.85957074), ('Robbery', 0.8595339), ('Arson', 0.83873355), ('Vandalism', 0.8288944), ('Shoplifting', 0.75921476)]
Robbery027: [('Assault', 0.93344826), ('Explosion', 0.93056476), ('Shooting', 0.9279162), ('Fighting', 0.9249791), ('Arrest', 0.9247039), ('Abuse', 0.92299175), ('Stealing', 0.91733956), ('Normal Videos', 0.897974), ('Burglary', 0.88521624), ('Road Accidents', 0.8707412), ('Robbery', 0.86130387), ('Arson', 0.8551315), ('Vandalism', 0.8370594), ('Shoplifting', 0.8069024)]
Robbery076: [('Explosion', 0.85882854), ('Normal Videos', 0.85459244), ('Fighting', 0.8422168), ('Stealing', 0.8381244), ('Abuse', 0.8354276), ('Road Accidents', 0.8333743), ('Shooting', 0.83106846), ('Assault', 0.82500386), ('Burglary', 0.8220151), ('Vandalism', 0.8209646), ('Arrest', 0.82089746), ('Robbery', 0.8184128), ('Arson', 0.8162005), ('Shoplifting', 0.77066284)]
Robbery010: [('Assault', 0.9476583), ('Fighting', 0.94204366), ('Explosion', 0.9411419), ('Abuse', 0.93987525), ('Shooting', 0.93687356), ('Arrest', 0.9353162), ('Stealing', 0.9301264), ('Normal Videos', 0.9050607), ('Burglary', 0.88289034), ('Road Accidents', 0.8704856), ('Robbery', 0.8528267), ('Vandalism', 0.8387145), ('Arson', 0.8358828), ('Shoplifting', 0.7419743)]
Robbery123: [('Explosion', 0.8563108), ('Burglary', 0.8535296), ('Road Accidents', 0.84436643), ('Normal Videos', 0.8430762), ('Shooting', 0.8370886), ('Abuse', 0.8358754), ('Fighting', 0.83352864), ('Assault', 0.833249), ('Arrest', 0.8272116), ('Stealing', 0.8269456), ('Robbery', 0.81713986), ('Vandalism', 0.8161794), ('Arson', 0.8111963), ('Shoplifting', 0.7523169)]
Shoplifting004: [('Assault', 0.9320279), ('Fighting', 0.9315319), ('Explosion', 0.9278312), ('Abuse', 0.9268351), ('Shooting', 0.92467785), ('Arrest', 0.9214981), ('Stealing', 0.9182539), ('Normal Videos', 0.9019102), ('Road Accidents', 0.86771435), ('Burglary', 0.8558105), ('Robbery', 0.85080534), ('Arson', 0.8378879), ('Vandalism', 0.83284986), ('Shoplifting', 0.77009636)]
Shoplifting041: [('Assault', 0.94820225), ('Explosion', 0.9404368), ('Fighting', 0.9390342), ('Abuse', 0.9383204), ('Shooting', 0.93558556), ('Arrest', 0.93353075), ('Stealing', 0.9232024), ('Normal Videos', 0.9048028), ('Burglary', 0.90275776), ('Road Accidents', 0.8819885), ('Arson', 0.8600179), ('Robbery', 0.8477278), ('Vandalism', 0.8365686), ('Shoplifting', 0.7700746)]
Shoplifting052: [('Explosion', 0.915931), ('Normal Videos', 0.9143923), ('Assault', 0.90654886), ('Shooting', 0.90638506), ('Abuse', 0.90603185), ('Burglary', 0.90275776), ('Fighting', 0.9019589), ('Arrest', 0.8953464), ('Stealing', 0.8901228), ('Road Accidents', 0.88970166), ('Robbery', 0.86121565), ('Arson', 0.8600179), ('Vandalism', 0.8323307), ('Shoplifting', 0.76647055)]
Shoplifting032: [('Explosion', 0.9201119), ('Assault', 0.90626276), ('Burglary', 0.90275776), ('Fighting', 0.901156), ('Shooting', 0.90022635), ('Abuse', 0.8955265), ('Normal Videos', 0.8949879), ('Arrest', 0.89411825), ('Road Accidents', 0.89039296), ('Stealing', 0.8780101), ('Arson', 0.86523366), ('Robbery', 0.8564173), ('Vandalism', 0.84143376), ('Shoplifting', 0.7469144)]
Shoplifting036: [('Assault', 0.9383224), ('Fighting', 0.9371444), ('Abuse', 0.93468463), ('Explosion', 0.93403256), ('Shooting', 0.9281407), ('Arrest', 0.92760146), ('Stealing', 0.9244214), ('Normal Videos', 0.9105637), ('Burglary', 0.8849365), ('Road Accidents', 0.8700263), ('Robbery', 0.85629445), ('Arson', 0.84883046), ('Vandalism', 0.8354005), ('Shoplifting', 0.7928675)]
Shoplifting049: [('Burglary', 0.9004204), ('Explosion', 0.8980381), ('Fighting', 0.8765086), ('Road Accidents', 0.8735616), ('Stealing', 0.87231123), ('Normal Videos', 0.87134266), ('Abuse', 0.87117106), ('Shooting', 0.8676244), ('Assault', 0.8662233), ('Arrest', 0.8575108), ('Arson', 0.84493923), ('Robbery', 0.84003484), ('Vandalism', 0.83610564), ('Shoplifting', 0.75308937)]
Shoplifting021: [('Explosion', 0.9290704), ('Assault', 0.9244964), ('Fighting', 0.92273676), ('Abuse', 0.9220196), ('Stealing', 0.92017114), ('Shooting', 0.919156), ('Arrest', 0.91880035), ('Normal Videos', 0.909031), ('Burglary', 0.8563855), ('Road Accidents', 0.85157466), ('Robbery', 0.84441054), ('Vandalism', 0.82604533), ('Arson', 0.8255379), ('Shoplifting', 0.75308937)]
Shoplifting037: [('Explosion', 0.92568004), ('Assault', 0.92532253), ('Fighting', 0.9232489), ('Abuse', 0.921161), ('Shooting', 0.92077863), ('Stealing', 0.91161144), ('Arrest', 0.91129315), ('Normal Videos', 0.9049947), ('Road Accidents', 0.8577286), ('Robbery', 0.84302974), ('Burglary', 0.83899313), ('Arson', 0.8355293), ('Vandalism', 0.82296187), ('Shoplifting', 0.7673085)]
Shoplifting001: [('Explosion', 0.926371), ('Assault', 0.9206501), ('Shooting', 0.9167341), ('Arrest', 0.9103252), ('Normal Videos', 0.90741074), ('Abuse', 0.9063366), ('Fighting', 0.9058835), ('Stealing', 0.89275426), ('Burglary', 0.8725715), ('Road Accidents', 0.8651214), ('Arson', 0.8400607), ('Robbery', 0.83769673), ('Vandalism', 0.8284167), ('Shoplifting', 0.79272497)]
Shoplifting008: [('Explosion', 0.90222585), ('Fighting', 0.8917202), ('Shooting', 0.8881291), ('Normal Videos', 0.8868017), ('Assault', 0.8849724), ('Abuse', 0.88344777), ('Stealing', 0.8786144), ('Arrest', 0.87657547), ('Road Accidents', 0.87009823), ('Burglary', 0.860996), ('Robbery', 0.8375173), ('Vandalism', 0.8301271), ('Arson', 0.8268971), ('Shoplifting', 0.7633058)]
Shoplifting051: [('Assault', 0.9359402), ('Explosion', 0.9354905), ('Fighting', 0.9348967), ('Abuse', 0.92932546), ('Shooting', 0.92737734), ('Arrest', 0.9232708), ('Stealing', 0.9142406), ('Normal Videos', 0.9066775), ('Road Accidents', 0.8664733), ('Burglary', 0.85027546), ('Arson', 0.84174216), ('Robbery', 0.84132284), ('Vandalism', 0.82969487), ('Shoplifting', 0.7466334)]
Shoplifting054: [('Explosion', 0.84369504), ('Normal Videos', 0.8287233), ('Fighting', 0.8206494), ('Burglary', 0.8176502), ('Shooting', 0.8164326), ('Stealing', 0.8145638), ('Arrest', 0.81098306), ('Assault', 0.8107537), ('Abuse', 0.8107422), ('Road Accidents', 0.8102916), ('Robbery', 0.80326986), ('Vandalism', 0.79505694), ('Arson', 0.7875433), ('Shoplifting', 0.7474002)]
Shoplifting031: [('Explosion', 0.926371), ('Assault', 0.9041713), ('Fighting', 0.9009324), ('Shooting', 0.9001185), ('Arrest', 0.8942381), ('Abuse', 0.8938963), ('Normal Videos', 0.89269775), ('Stealing', 0.88754165), ('Burglary', 0.8725715), ('Road Accidents', 0.8649752), ('Arson', 0.8400607), ('Robbery', 0.83769673), ('Vandalism', 0.81453544), ('Shoplifting', 0.7170057)]
Shoplifting022: [('Explosion', 0.9418263), ('Assault', 0.93611383), ('Abuse', 0.9344086), ('Fighting', 0.92880064), ('Shooting', 0.9282963), ('Normal Videos', 0.92710304), ('Stealing', 0.9265853), ('Arrest', 0.92045856), ('Road Accidents', 0.8780178), ('Robbery', 0.86040056), ('Burglary', 0.8535764), ('Arson', 0.8439605), ('Vandalism', 0.82359207), ('Shoplifting', 0.7994313)]
Shoplifting050: [('Explosion', 0.91410923), ('Assault', 0.89886725), ('Shooting', 0.8963001), ('Fighting', 0.89276814), ('Normal Videos', 0.891943), ('Abuse', 0.8904847), ('Arrest', 0.88917935), ('Burglary', 0.8869829), ('Stealing', 0.8791518), ('Road Accidents', 0.8735616), ('Robbery', 0.8369739), ('Vandalism', 0.83610564), ('Arson', 0.83235455), ('Shoplifting', 0.7236904)]
Shoplifting017: [('Explosion', 0.9008122), ('Burglary', 0.88521624), ('Normal Videos', 0.8850008), ('Stealing', 0.87377834), ('Shooting', 0.873777), ('Abuse', 0.87286055), ('Fighting', 0.8717145), ('Assault', 0.8711118), ('Road Accidents', 0.86523676), ('Arrest', 0.86218446), ('Robbery', 0.86121565), ('Arson', 0.8551315), ('Vandalism', 0.8323307), ('Shoplifting', 0.76647055)]
Shoplifting020: [('Assault', 0.94820225), ('Explosion', 0.944698), ('Fighting', 0.9390342), ('Abuse', 0.9383204), ('Shooting', 0.93558556), ('Arrest', 0.93353075), ('Stealing', 0.9292966), ('Normal Videos', 0.9119171), ('Burglary', 0.90275776), ('Road Accidents', 0.8819885), ('Arson', 0.8600179), ('Robbery', 0.85125256), ('Vandalism', 0.8318969), ('Shoplifting', 0.7700746)]
Shoplifting006: [('Explosion', 0.9297353), ('Assault', 0.9286134), ('Fighting', 0.92507815), ('Shooting', 0.92468786), ('Abuse', 0.9211385), ('Arrest', 0.9183229), ('Normal Videos', 0.91410416), ('Stealing', 0.91133934), ('Burglary', 0.8940393), ('Road Accidents', 0.8691178), ('Robbery', 0.84059745), ('Vandalism', 0.8368355), ('Arson', 0.83005124), ('Shoplifting', 0.7503034)]
Shoplifting030: [('Assault', 0.94820225), ('Explosion', 0.944698), ('Fighting', 0.9390342), ('Abuse', 0.9383204), ('Shooting', 0.93558556), ('Arrest', 0.93353075), ('Stealing', 0.9292966), ('Normal Videos', 0.9119171), ('Burglary', 0.90275776), ('Road Accidents', 0.88699454), ('Robbery', 0.8637419), ('Arson', 0.8600179), ('Vandalism', 0.84143376), ('Shoplifting', 0.77461696)]
Shoplifting048: [('Explosion', 0.944698), ('Assault', 0.9443206), ('Fighting', 0.9403069), ('Abuse', 0.93627185), ('Shooting', 0.9323331), ('Arrest', 0.9299342), ('Stealing', 0.9292966), ('Normal Videos', 0.9119171), ('Road Accidents', 0.8860131), ('Burglary', 0.88251644), ('Robbery', 0.8684025), ('Vandalism', 0.855417), ('Arson', 0.84960026), ('Shoplifting', 0.79141295)]
Shoplifting005: [('Explosion', 0.9121457), ('Fighting', 0.9019589), ('Assault', 0.9018386), ('Abuse', 0.8985331), ('Shooting', 0.89656055), ('Arrest', 0.8911815), ('Burglary', 0.8906284), ('Stealing', 0.88831663), ('Normal Videos', 0.8863888), ('Road Accidents', 0.87101674), ('Robbery', 0.850988), ('Arson', 0.8422326), ('Vandalism', 0.84143376), ('Shoplifting', 0.7701628)]
Shoplifting047: [('Explosion', 0.93369216), ('Fighting', 0.9259149), ('Assault', 0.92523575), ('Abuse', 0.920425), ('Shooting', 0.91720843), ('Arrest', 0.9120245), ('Stealing', 0.9082042), ('Normal Videos', 0.9075745), ('Burglary', 0.887491), ('Road Accidents', 0.8688249), ('Robbery', 0.84058607), ('Vandalism', 0.83292794), ('Arson', 0.83264804), ('Shoplifting', 0.7625483)]
Shoplifting026: [('Explosion', 0.8955263), ('Burglary', 0.8851889), ('Road Accidents', 0.86553586), ('Assault', 0.855322), ('Normal Videos', 0.85500145), ('Fighting', 0.85419065), ('Abuse', 0.85346365), ('Shooting', 0.848697), ('Arrest', 0.8446444), ('Stealing', 0.84366703), ('Arson', 0.83315474), ('Vandalism', 0.83285725), ('Robbery', 0.8176223), ('Shoplifting', 0.771004)]
Shoplifting010: [('Assault', 0.91488767), ('Explosion', 0.9124505), ('Shooting', 0.90794075), ('Arrest', 0.90216064), ('Abuse', 0.8997354), ('Fighting', 0.8965935), ('Burglary', 0.8911298), ('Normal Videos', 0.8828055), ('Stealing', 0.88043463), ('Road Accidents', 0.8743755), ('Arson', 0.85002375), ('Vandalism', 0.84501505), ('Robbery', 0.84194756), ('Shoplifting', 0.7800678)]
Shoplifting055: [('Assault', 0.94820225), ('Explosion', 0.9426741), ('Fighting', 0.9390342), ('Abuse', 0.9383204), ('Arrest', 0.93585527), ('Shooting', 0.93558556), ('Stealing', 0.9295055), ('Normal Videos', 0.9188194), ('Burglary', 0.8806416), ('Road Accidents', 0.8784721), ('Robbery', 0.8557377), ('Arson', 0.8480827), ('Vandalism', 0.8358896), ('Shoplifting', 0.7664422)]
Shoplifting003: [('Explosion', 0.944698), ('Assault', 0.9399092), ('Fighting', 0.9375081), ('Abuse', 0.9330753), ('Shooting', 0.93151283), ('Stealing', 0.9292966), ('Arrest', 0.92814595), ('Normal Videos', 0.9119171), ('Burglary', 0.9004204), ('Road Accidents', 0.8743755), ('Arson', 0.85788846), ('Robbery', 0.85125256), ('Vandalism', 0.8391337), ('Shoplifting', 0.76411164)]
Shoplifting042: [('Assault', 0.9398862), ('Abuse', 0.93830526), ('Fighting', 0.9363383), ('Explosion', 0.93280184), ('Stealing', 0.93179834), ('Shooting', 0.9313418), ('Arrest', 0.9294648), ('Normal Videos', 0.91856986), ('Burglary', 0.89723897), ('Road Accidents', 0.8665193), ('Robbery', 0.85522425), ('Vandalism', 0.8509786), ('Arson', 0.84764874), ('Shoplifting', 0.7951)]
Shoplifting039: [('Assault', 0.94820225), ('Explosion', 0.9404368), ('Fighting', 0.9390342), ('Abuse', 0.9383204), ('Shooting', 0.93558556), ('Arrest', 0.93353075), ('Stealing', 0.9232024), ('Normal Videos', 0.9104483), ('Burglary', 0.8657124), ('Road Accidents', 0.8579171), ('Robbery', 0.8555286), ('Arson', 0.83727455), ('Vandalism', 0.8358896), ('Shoplifting', 0.77582705)]
Shoplifting045: [('Explosion', 0.94256186), ('Assault', 0.9392277), ('Fighting', 0.9351018), ('Abuse', 0.9308921), ('Shooting', 0.92925864), ('Arrest', 0.9253824), ('Stealing', 0.91601425), ('Normal Videos', 0.90611565), ('Road Accidents', 0.8673469), ('Burglary', 0.8555757), ('Robbery', 0.8375454), ('Vandalism', 0.8358896), ('Arson', 0.835121), ('Shoplifting', 0.76263505)]
Shoplifting016: [('Explosion', 0.91132253), ('Burglary', 0.89123994), ('Fighting', 0.88475215), ('Assault', 0.8814029), ('Abuse', 0.87997854), ('Normal Videos', 0.87818074), ('Shooting', 0.8761904), ('Road Accidents', 0.87316656), ('Stealing', 0.87310475), ('Arrest', 0.8672972), ('Vandalism', 0.8567276), ('Arson', 0.8422326), ('Robbery', 0.8362575), ('Shoplifting', 0.78025293)]
Shoplifting038: [('Burglary', 0.8981292), ('Explosion', 0.8980381), ('Fighting', 0.8765086), ('Stealing', 0.87231123), ('Normal Videos', 0.87134266), ('Abuse', 0.87117106), ('Shooting', 0.8676244), ('Assault', 0.8662233), ('Arrest', 0.8575108), ('Vandalism', 0.8573357), ('Road Accidents', 0.8485311), ('Robbery', 0.84003484), ('Arson', 0.83122915), ('Shoplifting', 0.77736884)]
Shoplifting019: [('Explosion', 0.9197837), ('Fighting', 0.90958667), ('Abuse', 0.90599656), ('Assault', 0.90530443), ('Shooting', 0.90007144), ('Arrest', 0.8969001), ('Stealing', 0.89135945), ('Normal Videos', 0.8881653), ('Road Accidents', 0.85831785), ('Burglary', 0.8453873), ('Robbery', 0.8387865), ('Arson', 0.83385164), ('Vandalism', 0.819445), ('Shoplifting', 0.7358099)]
Shoplifting012: [('Explosion', 0.9533688), ('Assault', 0.9502982), ('Fighting', 0.9435736), ('Shooting', 0.9392687), ('Abuse', 0.9392339), ('Arrest', 0.93617356), ('Stealing', 0.9264474), ('Normal Videos', 0.922791), ('Burglary', 0.9030621), ('Road Accidents', 0.8910881), ('Arson', 0.8654804), ('Robbery', 0.8605578), ('Vandalism', 0.84431744), ('Shoplifting', 0.7711311)]
Shoplifting033: [('Explosion', 0.9162073), ('Normal Videos', 0.89772415), ('Abuse', 0.8962938), ('Fighting', 0.8936273), ('Assault', 0.8909589), ('Stealing', 0.89026964), ('Shooting', 0.8887279), ('Arrest', 0.8811002), ('Road Accidents', 0.8717551), ('Burglary', 0.8703468), ('Robbery', 0.8495002), ('Arson', 0.84160316), ('Vandalism', 0.8345697), ('Shoplifting', 0.7792537)]
Shoplifting018: [('Burglary', 0.8783087), ('Road Accidents', 0.85538375), ('Explosion', 0.84664994), ('Normal Videos', 0.8401351), ('Arson', 0.82419574), ('Shooting', 0.8232263), ('Vandalism', 0.82281643), ('Fighting', 0.8175982), ('Abuse', 0.815419), ('Assault', 0.81501436), ('Robbery', 0.806908), ('Arrest', 0.80414915), ('Stealing', 0.79684806), ('Shoplifting', 0.7320832)]
Shoplifting027: [('Explosion', 0.92988306), ('Assault', 0.9195281), ('Fighting', 0.9186263), ('Abuse', 0.9156816), ('Shooting', 0.9129276), ('Stealing', 0.91053534), ('Arrest', 0.90813625), ('Normal Videos', 0.8983819), ('Burglary', 0.8674138), ('Road Accidents', 0.862666), ('Robbery', 0.84805745), ('Vandalism', 0.83933586), ('Arson', 0.8356993), ('Shoplifting', 0.7642177)]
Shoplifting029: [('Explosion', 0.91283655), ('Shooting', 0.9038663), ('Abuse', 0.90384936), ('Normal Videos', 0.90359664), ('Assault', 0.9015575), ('Arrest', 0.8930968), ('Fighting', 0.8900753), ('Road Accidents', 0.88699454), ('Stealing', 0.8822217), ('Burglary', 0.8509644), ('Arson', 0.83207333), ('Vandalism', 0.82929385), ('Robbery', 0.8249172), ('Shoplifting', 0.78580254)]
Shoplifting013: [('Explosion', 0.8628806), ('Normal Videos', 0.8535787), ('Burglary', 0.8451371), ('Road Accidents', 0.8413062), ('Shooting', 0.8361343), ('Abuse', 0.8340717), ('Fighting', 0.833272), ('Assault', 0.8299806), ('Arrest', 0.8220244), ('Robbery', 0.8215783), ('Stealing', 0.82126355), ('Arson', 0.8035749), ('Vandalism', 0.80310553), ('Shoplifting', 0.7387393)]
Shoplifting009: [('Assault', 0.9259875), ('Fighting', 0.92585087), ('Abuse', 0.92364126), ('Explosion', 0.9215152), ('Shooting', 0.91632056), ('Arrest', 0.91573185), ('Stealing', 0.9114945), ('Burglary', 0.9004204), ('Normal Videos', 0.8975723), ('Road Accidents', 0.88598955), ('Robbery', 0.8637419), ('Arson', 0.8517342), ('Vandalism', 0.8476674), ('Shoplifting', 0.78121746)]
Shoplifting028: [('Explosion', 0.92194325), ('Assault', 0.91149557), ('Abuse', 0.9097731), ('Fighting', 0.9076135), ('Shooting', 0.90683955), ('Stealing', 0.9061544), ('Normal Videos', 0.90359664), ('Arrest', 0.8966745), ('Road Accidents', 0.88699454), ('Burglary', 0.8689997), ('Robbery', 0.8679583), ('Arson', 0.84883046), ('Vandalism', 0.819787), ('Shoplifting', 0.78047407)]
Shoplifting040: [('Explosion', 0.9162073), ('Normal Videos', 0.89772415), ('Abuse', 0.8962938), ('Fighting', 0.8936273), ('Assault', 0.8909589), ('Stealing', 0.89026964), ('Shooting', 0.8887279), ('Arrest', 0.8811002), ('Road Accidents', 0.8717551), ('Burglary', 0.87124693), ('Robbery', 0.8495002), ('Arson', 0.84269917), ('Vandalism', 0.8345697), ('Shoplifting', 0.7932052)]
Shoplifting025: [('Assault', 0.9370731), ('Abuse', 0.9344827), ('Fighting', 0.93340874), ('Explosion', 0.93148303), ('Shooting', 0.92928666), ('Stealing', 0.9286393), ('Arrest', 0.92639315), ('Normal Videos', 0.9142754), ('Road Accidents', 0.85836506), ('Robbery', 0.8515607), ('Burglary', 0.84488094), ('Arson', 0.8366821), ('Vandalism', 0.82143015), ('Shoplifting', 0.7753153)]
Shoplifting007: [('Fighting', 0.9334073), ('Explosion', 0.9306288), ('Assault', 0.93043965), ('Abuse', 0.9293215), ('Shooting', 0.9229008), ('Stealing', 0.92263913), ('Arrest', 0.9212178), ('Normal Videos', 0.9066731), ('Burglary', 0.8690263), ('Road Accidents', 0.8638613), ('Robbery', 0.8476903), ('Arson', 0.84308577), ('Vandalism', 0.8391337), ('Shoplifting', 0.7932052)]
Shoplifting024: [('Explosion', 0.9233291), ('Assault', 0.921955), ('Abuse', 0.91894495), ('Fighting', 0.9183805), ('Shooting', 0.912118), ('Stealing', 0.9116821), ('Arrest', 0.9115508), ('Normal Videos', 0.9016119), ('Burglary', 0.8910275), ('Road Accidents', 0.8807641), ('Vandalism', 0.84769547), ('Arson', 0.84230185), ('Robbery', 0.8315645), ('Shoplifting', 0.7691661)]
Shoplifting043: [('Fighting', 0.9175514), ('Abuse', 0.9159599), ('Assault', 0.9158306), ('Explosion', 0.9129425), ('Stealing', 0.9086883), ('Shooting', 0.9081118), ('Arrest', 0.90631557), ('Normal Videos', 0.8970386), ('Road Accidents', 0.8565669), ('Burglary', 0.84860474), ('Robbery', 0.84675574), ('Arson', 0.8328763), ('Vandalism', 0.8246848), ('Shoplifting', 0.7932052)]
Shoplifting053: [('Explosion', 0.8818091), ('Normal Videos', 0.88083243), ('Fighting', 0.8615496), ('Abuse', 0.8597846), ('Shooting', 0.8563596), ('Stealing', 0.8547936), ('Road Accidents', 0.84885764), ('Assault', 0.84616315), ('Arrest', 0.8423657), ('Burglary', 0.8394165), ('Robbery', 0.8273212), ('Arson', 0.8133139), ('Vandalism', 0.8063075), ('Shoplifting', 0.75754905)]
